Ticker,Signal Date,Buy Date,Buy Price,%BelowSMA100_at_Buy,Sell Date,Sell Price,%Gain,Cost_bps,Slippage_bps,Net%Gain,HoldingDays,ExitReason,RSI14_at_Signal,IBS_at_Signal,RV20_at_Signal,Breadth_at_Signal,Slope_at_Signal,Votes_At_Entry
NVDA,2022-05-09,2022-05-10,17.659785,28.1113,2022-06-09,18.022005,2.0511,10,5,1.7449,21,TimeStop,32.386,0.086,0.719,0.32,-0.116435,4
TTWO,2022-05-09,2022-05-10,107.580002,30.6301,2022-06-09,129.229996,20.1246,10,5,19.7642,21,TimeStop,23.803,0.14,0.479,0.32,-0.381321,5
UBER,2022-05-09,2022-05-10,23.85,32.7045,2022-06-09,25.440001,6.6667,10,5,6.3467,21,TimeStop,25.868,0.077,0.672,0.32,-0.081042,4
COIN,2022-05-10,2022-05-11,54.849998,70.5971,2022-06-10,58.709999,7.0374,10,5,6.7163,21,TimeStop,22.06,0.146,1.115,0.31,-1.627022,4
AMZN,2022-05-11,2022-05-12,102.75,32.5324,2022-06-10,109.650002,6.7153,10,5,6.3952,20,ATR_Trailing,21.966,0.165,0.684,0.302,-0.401433,5
CCL,2022-05-11,2022-05-12,13.26,32.41,2022-06-09,11.73,-11.5385,10,5,-11.8039,19,ATR_Trailing,23.225,0.025,0.636,0.302,-0.007662,5
DAY,2022-05-11,2022-05-12,49.099998,32.6527,2022-06-13,47.060001,-4.1548,10,5,-4.4423,21,ATR_Trailing,32.104,0.049,0.543,0.302,-0.499427,5
DXCM,2022-05-11,2022-05-12,77.400002,31.3807,2022-06-13,68.059998,-12.0672,10,5,-12.331,21,ATR_Trailing,18.954,0.063,0.494,0.302,-0.358372,5
GNRC,2022-05-11,2022-05-12,200.0,31.6894,2022-06-06,284.339996,42.17,10,5,41.7435,16,MARecovery,33.111,0.038,0.821,0.302,-1.502455,3
NFLX,2022-05-11,2022-05-12,163.960007,58.2934,2022-06-13,169.690002,3.4948,10,5,3.1843,21,ATR_Trailing,22.228,0.053,1.562,0.302,-4.169062,6
PYPL,2022-05-11,2022-05-12,73.75,42.5988,2022-06-13,73.720001,-0.0407,10,5,-0.3406,21,ATR_Trailing,29.836,0.028,0.707,0.302,-0.991977,5
WBD,2022-05-11,2022-05-12,16.51,35.0585,2022-06-09,15.63,-5.3301,10,5,-5.6141,19,ATR_Trailing,28.284,0.024,0.647,0.302,-0.04014,5
